11230,"CONCANNON IRISH","","750M",40,12,9.00000,9.00000,9900,1,1123,13,1123,11,13,10,80.0,,,"0000","",500.00,,,,168,,,,168,,,,,,,,,,,,,,,,,,1000,,,,,18.00,40417,,13,1
11232,"BIG HOUSE TUPULO HONEY","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1123,7,1123,11,7,10,80.0,,,"0000","",97.36,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,18.00,31717,,7,1
11237,"ROYAL CANADIAN","3 PER CASE","175L",20,3,5.25000,5.25000,9900,1,1123,31,1123,11,31,10,80.0,,,"0000","88004005658",98.53,,,,,,,,,,,,,,,,,,.03,,,,,85.15,,63.07,1000,,,,,18.00,121015,,31,1
11238,"ROYAL CANADIAN","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1123,31,1123,11,31,10,80.0,,,"0000","088004005665",107.49,,,,,,,,,,,,,,,,,,.48,,,,,779.76,,581.20,1000,,,,,18.00,121015,,31,1
11239,"CARIBOU CROSSING","3 PER CASE","750M",40,3,2.25000,2.25000,9900,1,1123,31,1123,11,31,10,80.0,,,"0000","088004004880",136.62,,,2,,,,,1,1,8,,9,,,,9,7,.06,,85.15,28.47,315.96,255.46,227.70,170.78,1000,,,,,18.00,31717,,31,1
11242,"ANCIENT AGE 80","","175L",20,6,10.50000,10.50000,9900,1,1124,3,1124,11,3,10,80.0,,,"0000","080244002114",116.45,,,,90,,,,,90,384,,90,,,24,114,114,3.59,,1519.17,1175.25,6458.36,6090.87,5014.41,4687.95,1000,,,180,,18.00,50217,180,3,1
11245,"ANCIENT AGE 80","","750M",40,12,9.00000,9.00000,9900,1,1124,3,1124,11,3,10,80.0,,,"0000","080244002138",116.45,,,,168,,,,45,123,291,,,,,,,,3.24,,1082.25,821.24,2525.23,2938.38,1942.92,2163.32,1000,,,,,18.00,40417,,3,1
11252,"ANCIENT AGE 90","","175L",20,6,10.50000,10.50000,9900,1,1125,3,1125,11,3,10,90.0,,,"0000","080244001315",129.90,,,,90,,,2,8,48,318,12,90,,,,102,102,3.63,,932.16,717.76,6090.44,6935.22,4755.16,5428.05,1000,,,90,,18.00,50217,90,3,1
11255,"ANCIENT AGE 90","","750M",40,12,9.00000,9.00000,9900,1,1125,3,1125,11,3,10,90.0,,,"0000","",125.41,80.58,9.00,,168,,,,144,24,192,,,,,,,,2.46,,233.02,167.08,1864.16,2399.83,1336.64,1712.54,1000,,,,,18.00,40417,,3,1
11272,"ANC AGE PREFERRED","","175L",20,6,10.50000,10.50000,9900,1,1127,9,1127,11,9,10,80.0,,,"0000","080244005115",94.04,,,80,,,,,74,6,12,82,,,,-2,80,,.42,,85.15,62.51,170.30,596.05,125.02,437.57,1000,,,,,18.00,32516,,9,1
11275,"ANC AGE PREFERRED","","750M",40,12,9.00000,9.00000,9900,1,1127,9,1127,11,9,10,80.0,,,"0000","080244005139",85.07,,,,168,,,,144,24,95,35,,,,,35,35,1.68,,152.36,115.66,603.10,1066.52,457.83,809.62,1000,,,,,18.00,40917,,9,1
11280,"BENCHMARK APPLE","","750M",40,12,9.00000,9.00000,9900,1,1128,7,1128,11,7,10,70.0,,,"0000","088004022648",120.92,,,3,,,,1,,4,55,18,,,,,18,15,6.00,,37.36,29.68,492.23,5386.16,407.90,4405.11,1000,,,,,18.00,90216,,7,1
